epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.051839,0.081762,0.021916,0.026242,0.042990,0.009495,-19.05,0.0001,2025-08-21T21:49:08
2,0.039450,0.061904,0.016996,0.023831,0.039662,0.007999,-19.44,0.0001,2025-08-21T21:50:13
3,0.031601,0.049646,0.013555,0.025403,0.042371,0.008435,-19.34,0.0001,2025-08-21T21:51:20
4,0.025634,0.040361,0.010908,0.023937,0.039712,0.008161,-19.42,0.0001,2025-08-21T21:52:20
5,0.021874,0.034420,0.009329,0.024137,0.040106,0.008168,-19.27,0.0001,2025-08-21T21:53:21
6,0.020285,0.031899,0.008671,0.024640,0.040494,0.008786,-19.17,0.0001,2025-08-21T21:54:22
7,0.018463,0.028999,0.007927,0.024606,0.040741,0.008472,-19.07,0.0001,2025-08-21T21:55:22
8,0.016840,0.026514,0.007166,0.025108,0.041712,0.008504,-19.06,5e-05,2025-08-21T21:56:20
9,0.013224,0.020798,0.005649,0.024639,0.040763,0.008515,-19.06,5e-05,2025-08-21T21:57:18
10,0.011700,0.018353,0.005047,0.025033,0.041264,0.008802,-18.91,5e-05,2025-08-21T21:58:15
11,0.011412,0.017926,0.004898,0.024954,0.041245,0.008664,-18.98,5e-05,2025-08-21T21:59:11
12,0.011063,0.017441,0.004684,0.024922,0.041113,0.008732,-18.88,5e-05,2025-08-21T22:00:06
