epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.037065,0.058821,0.015310,0.033266,0.056777,0.009756,-18.98,0.0001,2025-08-21T21:32:19
2,0.028839,0.045348,0.012330,0.032174,0.053970,0.010379,-19.02,0.0001,2025-08-21T21:33:19
3,0.025861,0.040481,0.011241,0.032159,0.054806,0.009513,-19.17,0.0001,2025-08-21T21:34:23
4,0.024157,0.037782,0.010532,0.031947,0.053799,0.010096,-18.97,0.0001,2025-08-21T21:35:27
5,0.021751,0.034215,0.009286,0.032668,0.054838,0.010498,-18.94,0.0001,2025-08-21T21:36:29
6,0.020178,0.031584,0.008773,0.031713,0.053508,0.009918,-19.01,0.0001,2025-08-21T21:37:22
7,0.019545,0.030762,0.008328,0.032312,0.054575,0.010049,-18.96,0.0001,2025-08-21T21:38:25
8,0.018279,0.028687,0.007871,0.032530,0.054489,0.010571,-18.82,0.0001,2025-08-21T21:39:22
9,0.017763,0.027973,0.007553,0.032543,0.054465,0.010620,-18.96,0.0001,2025-08-21T21:40:19
10,0.016679,0.026141,0.007216,0.031745,0.053476,0.010015,-19.07,0.0001,2025-08-21T21:41:17
11,0.015803,0.024900,0.006707,0.032033,0.053719,0.010347,-18.99,0.0001,2025-08-21T21:42:16
12,0.015708,0.024739,0.006676,0.032686,0.055074,0.010298,-18.83,5e-05,2025-08-21T21:43:15
13,0.011881,0.018702,0.005059,0.032120,0.054000,0.010240,-18.91,5e-05,2025-08-21T21:44:14
14,0.010663,0.016784,0.004542,0.031894,0.053613,0.010175,-18.93,5e-05,2025-08-21T21:45:12
15,0.010516,0.016533,0.004498,0.032082,0.053864,0.010301,-18.87,5e-05,2025-08-21T21:46:12
16,0.010964,0.017266,0.004662,0.032020,0.053755,0.010285,-18.90,5e-05,2025-08-21T21:47:13
