epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.052323,0.082413,0.022232,0.063973,0.109053,0.018893,-10.52,0.0001,2025-08-21T19:56:26
2,0.039152,0.060112,0.018192,0.063264,0.108236,0.018291,-10.44,0.0001,2025-08-21T19:57:39
3,0.035268,0.054066,0.016469,0.062828,0.107283,0.018372,-10.49,0.0001,2025-08-21T19:58:52
4,0.034344,0.052626,0.016062,0.063669,0.108745,0.018592,-10.52,0.0001,2025-08-21T20:00:05
5,0.032179,0.049157,0.015200,0.062666,0.106717,0.018614,-10.38,0.0001,2025-08-21T20:01:08
6,0.032405,0.049623,0.015187,0.061826,0.105550,0.018102,-10.48,0.0001,2025-08-21T20:02:21
7,0.030441,0.046551,0.014332,0.062247,0.106285,0.018209,-10.51,0.0001,2025-08-21T20:03:35
8,0.029063,0.044662,0.013465,0.061724,0.105252,0.018197,-10.49,0.0001,2025-08-21T20:04:38
9,0.028185,0.043180,0.013191,0.062146,0.106022,0.018270,-10.53,0.0001,2025-08-21T20:05:51
10,0.027678,0.042477,0.012879,0.062209,0.105858,0.018560,-10.59,0.0001,2025-08-21T20:06:54
11,0.027383,0.042039,0.012728,0.062098,0.105696,0.018501,-10.59,0.0001,2025-08-21T20:07:57
12,0.026760,0.041010,0.012511,0.062273,0.105779,0.018767,-10.61,0.0001,2025-08-21T20:09:00
13,0.026606,0.041023,0.012188,0.061575,0.104676,0.018475,-10.63,0.0001,2025-08-21T20:10:04
14,0.024432,0.037723,0.011142,0.060977,0.104013,0.017942,-10.67,0.0001,2025-08-21T20:11:18
15,0.024775,0.038180,0.011371,0.061755,0.104902,0.018607,-10.74,0.0001,2025-08-21T20:12:33
16,0.024396,0.037466,0.011326,0.061256,0.104137,0.018374,-10.85,0.0001,2025-08-21T20:13:40
17,0.022561,0.034915,0.010207,0.060934,0.103625,0.018242,-10.80,0.0001,2025-08-21T20:14:48
18,0.023047,0.035675,0.010418,0.061444,0.104401,0.018486,-10.92,0.0001,2025-08-21T20:16:06
19,0.022369,0.034561,0.010177,0.061375,0.104143,0.018608,-10.99,0.0001,2025-08-21T20:17:16
20,0.022047,0.034038,0.010055,0.061634,0.104416,0.018851,-11.03,0.0001,2025-08-21T20:18:25
21,0.020920,0.032362,0.009477,0.061024,0.103591,0.018457,-11.00,0.0001,2025-08-21T20:19:36
22,0.020821,0.032219,0.009424,0.060896,0.103475,0.018318,-11.12,0.0001,2025-08-21T20:20:50
23,0.020633,0.031899,0.009367,0.061033,0.103527,0.018539,-11.17,0.0001,2025-08-21T20:22:11
24,0.020167,0.031232,0.009101,0.061095,0.103668,0.018522,-11.21,0.0001,2025-08-21T20:23:25
25,0.018747,0.029120,0.008374,0.060498,0.102729,0.018267,-11.37,0.0001,2025-08-21T20:24:38
26,0.019049,0.029688,0.008409,0.060619,0.102936,0.018303,-11.44,0.0001,2025-08-21T20:25:58
27,0.018826,0.029155,0.008498,0.060651,0.102833,0.018470,-11.46,0.0001,2025-08-21T20:27:09
28,0.019023,0.029359,0.008686,0.060467,0.102488,0.018446,-11.50,0.0001,2025-08-21T20:28:17
29,0.017847,0.027774,0.007920,0.060211,0.102283,0.018140,-11.62,0.0001,2025-08-21T20:29:33
30,0.017984,0.027822,0.008146,0.060947,0.103127,0.018767,-11.64,0.0001,2025-08-21T20:30:48
31,0.018026,0.027916,0.008137,0.060590,0.102554,0.018626,-11.72,0.0001,2025-08-21T20:31:53
32,0.017458,0.026963,0.007953,0.060537,0.102797,0.018277,-11.81,0.0001,2025-08-21T20:33:00
33,0.016754,0.025938,0.007570,0.060115,0.102007,0.018224,-11.96,0.0001,2025-08-21T20:34:05
34,0.016471,0.025654,0.007288,0.060142,0.102071,0.018214,-12.04,0.0001,2025-08-21T20:35:19
35,0.016178,0.025219,0.007136,0.060496,0.102568,0.018424,-12.15,0.0001,2025-08-21T20:36:23
36,0.017253,0.026638,0.007867,0.059960,0.101672,0.018248,-12.26,0.0001,2025-08-21T20:37:27
37,0.015622,0.024359,0.006884,0.061068,0.103128,0.019007,-12.31,0.0001,2025-08-21T20:38:41
38,0.016256,0.025082,0.007430,0.060286,0.102137,0.018435,-12.39,0.0001,2025-08-21T20:39:45
39,0.015824,0.024636,0.007012,0.059748,0.101436,0.018060,-12.57,0.0001,2025-08-21T20:40:49
40,0.016270,0.025205,0.007334,0.059871,0.101530,0.018212,-12.68,0.0001,2025-08-21T20:42:02
41,0.016047,0.024901,0.007192,0.059947,0.101764,0.018129,-12.77,0.0001,2025-08-21T20:43:06
42,0.015156,0.023638,0.006673,0.059450,0.100936,0.017964,-12.84,0.0001,2025-08-21T20:44:11
43,0.014836,0.022995,0.006677,0.059772,0.101359,0.018185,-12.95,0.0001,2025-08-21T20:45:26
44,0.015090,0.023302,0.006878,0.059651,0.101190,0.018112,-13.09,0.0001,2025-08-21T20:46:33
45,0.014650,0.022712,0.006587,0.059859,0.101470,0.018249,-13.29,0.0001,2025-08-21T20:47:41
46,0.014071,0.021940,0.006202,0.059985,0.101672,0.018298,-13.40,0.0001,2025-08-21T20:48:51
47,0.014164,0.021933,0.006394,0.059598,0.101102,0.018094,-13.54,0.0001,2025-08-21T20:50:01
