epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.324923,0.510767,0.139079,0.209350,0.341376,0.077324,-5.60,0.0001,2025-08-21T18:50:52
2,0.213163,0.342268,0.084058,0.170755,0.277552,0.063959,-7.24,0.0001,2025-08-21T18:52:00
3,0.186498,0.299792,0.073204,0.148016,0.240168,0.055865,-8.35,0.0001,2025-08-21T18:53:13
4,0.168643,0.271376,0.065910,0.133186,0.216066,0.050306,-9.23,0.0001,2025-08-21T18:54:24
5,0.155794,0.250136,0.061452,0.124091,0.200375,0.047807,-9.87,0.0001,2025-08-21T18:55:36
6,0.141728,0.228433,0.055023,0.109229,0.177683,0.040775,-10.92,0.0001,2025-08-21T18:56:47
7,0.130449,0.210104,0.050793,0.099428,0.162420,0.036437,-11.70,0.0001,2025-08-21T18:57:57
8,0.121440,0.194872,0.048007,0.092760,0.150987,0.034533,-12.40,0.0001,2025-08-21T18:59:09
9,0.113800,0.181778,0.045822,0.085994,0.140411,0.031576,-12.86,0.0001,2025-08-21T19:00:20
10,0.107496,0.170774,0.044219,0.081711,0.133882,0.029540,-13.12,0.0001,2025-08-21T19:01:31
11,0.100303,0.158701,0.041906,0.079251,0.129634,0.028868,-12.85,0.0001,2025-08-21T19:02:43
12,0.094963,0.149803,0.040124,0.076054,0.124879,0.027229,-12.81,0.0001,2025-08-21T19:03:53
13,0.088804,0.139267,0.038341,0.070501,0.117140,0.023863,-12.50,0.0001,2025-08-21T19:05:05
14,0.084706,0.131975,0.037436,0.069244,0.115546,0.022943,-12.28,0.0001,2025-08-21T19:06:16
15,0.079550,0.123019,0.036081,0.068498,0.115102,0.021894,-12.09,0.0001,2025-08-21T19:07:27
16,0.074717,0.114859,0.034575,0.067696,0.114384,0.021008,-12.09,0.0001,2025-08-21T19:08:38
17,0.072894,0.111612,0.034176,0.064762,0.109778,0.019745,-11.74,0.0001,2025-08-21T19:09:50
18,0.068444,0.103947,0.032942,0.063804,0.108526,0.019082,-11.46,0.0001,2025-08-21T19:11:01
19,0.066619,0.100774,0.032464,0.064944,0.110319,0.019570,-11.47,0.0001,2025-08-21T19:12:13
20,0.063942,0.096454,0.031431,0.063631,0.108765,0.018498,-11.37,0.0001,2025-08-21T19:13:15
21,0.061685,0.092422,0.030949,0.064088,0.108284,0.019892,-11.03,0.0001,2025-08-21T19:14:26
22,0.060127,0.089950,0.030305,0.063074,0.107200,0.018948,-11.22,0.0001,2025-08-21T19:15:28
23,0.062825,0.095582,0.030067,0.060461,0.103143,0.017779,-11.66,0.0001,2025-08-21T19:16:39
24,0.062157,0.094491,0.029823,0.061088,0.103923,0.018253,-11.46,0.0001,2025-08-21T19:17:51
25,0.057173,0.085428,0.028917,0.060863,0.103448,0.018278,-11.27,0.0001,2025-08-21T19:18:53
