epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.215935,0.334136,0.097734,0.184639,0.285745,0.083533,-1.07,0.0001,2025-08-21T08:49:35
2,0.189860,0.294030,0.085691,0.174082,0.271997,0.076167,-1.33,0.0001,2025-08-21T08:50:32
3,0.180905,0.283100,0.078709,0.166303,0.261854,0.070751,-1.54,0.0001,2025-08-21T08:51:29
1,0.079200,0.128135,0.030265,0.052184,0.087137,0.017232,-9.11,0.0001,2025-08-21T08:54:57
2,0.066565,0.109644,0.023486,0.050318,0.083876,0.016759,-9.20,0.0001,2025-08-21T08:55:51
3,0.059675,0.098705,0.020645,0.051207,0.083419,0.018996,-9.20,0.0001,2025-08-21T08:56:48
4,0.056868,0.094034,0.019702,0.052474,0.087756,0.017193,-9.23,0.0001,2025-08-21T08:57:35
5,0.051756,0.085623,0.017889,0.044916,0.074039,0.015792,-9.21,0.0001,2025-08-21T08:58:24
6,0.049039,0.082121,0.015958,0.049796,0.083165,0.016428,-9.37,0.0001,2025-08-21T08:59:21
7,0.046876,0.078685,0.015066,0.046624,0.078375,0.014874,-9.44,0.0001,2025-08-21T09:00:12
8,0.044212,0.074198,0.014226,0.050458,0.083264,0.017653,-9.48,0.0001,2025-08-21T09:01:03
9,0.042516,0.071208,0.013824,0.049424,0.081560,0.017288,-9.50,0.0001,2025-08-21T09:01:54
10,0.043174,0.072675,0.013674,0.045800,0.076032,0.015569,-9.44,0.0001,2025-08-21T09:02:45
11,0.041085,0.069589,0.012580,0.049509,0.083960,0.015058,-9.54,5e-05,2025-08-21T09:03:35
12,0.036550,0.062535,0.010566,0.044790,0.075517,0.014063,-9.53,5e-05,2025-08-21T09:04:27
13,0.036322,0.062516,0.010128,0.046579,0.078614,0.014544,-9.50,5e-05,2025-08-21T09:05:26
14,0.037419,0.063925,0.010913,0.048202,0.080661,0.015743,-9.47,5e-05,2025-08-21T09:06:19
15,0.036473,0.062421,0.010524,0.047513,0.081378,0.013647,-9.56,5e-05,2025-08-21T09:07:12
16,0.035967,0.061764,0.010170,0.046313,0.076791,0.015836,-9.53,5e-05,2025-08-21T09:08:05
17,0.035632,0.061107,0.010157,0.049963,0.084377,0.015549,-9.55,5e-05,2025-08-21T09:08:59
18,0.035600,0.060402,0.010799,0.049739,0.082029,0.017449,-9.52,5e-05,2025-08-21T09:09:54
19,0.037054,0.062582,0.011526,0.046231,0.077019,0.015443,-9.44,2.5e-05,2025-08-21T09:10:49
20,0.033714,0.058198,0.009230,0.044151,0.072424,0.015878,-9.49,2.5e-05,2025-08-21T09:11:45
21,0.033477,0.057679,0.009275,0.046777,0.078598,0.014957,-9.55,2.5e-05,2025-08-21T09:12:48
22,0.032798,0.056568,0.009029,0.050436,0.082727,0.018144,-9.53,2.5e-05,2025-08-21T09:13:44
23,0.032793,0.056874,0.008712,0.045000,0.075953,0.014047,-9.54,2.5e-05,2025-08-21T09:14:41
24,0.032566,0.057087,0.008045,0.046739,0.078450,0.015029,-9.51,2.5e-05,2025-08-21T09:15:38
25,0.032257,0.056428,0.008086,0.046085,0.076732,0.015438,-9.45,2.5e-05,2025-08-21T09:16:35
26,0.032177,0.056561,0.007793,0.045373,0.075298,0.015448,-9.33,2.5e-05,2025-08-21T09:17:32
27,0.032824,0.057791,0.007856,0.043805,0.073243,0.014367,-9.41,2.5e-05,2025-08-21T09:18:29
28,0.032733,0.057387,0.008080,0.047557,0.078854,0.016259,-9.45,2.5e-05,2025-08-21T09:19:30
29,0.033905,0.059387,0.008422,0.050832,0.082543,0.019121,-9.40,2.5e-05,2025-08-21T09:20:24
30,0.034816,0.060750,0.008882,0.046912,0.077338,0.016486,-9.44,2.5e-05,2025-08-21T09:21:17
31,0.035093,0.060930,0.009256,0.045611,0.076631,0.014591,-9.39,2.5e-05,2025-08-21T09:22:09
32,0.034213,0.059458,0.008968,0.047005,0.079315,0.014694,-9.40,2.5e-05,2025-08-21T09:23:01
33,0.033824,0.058915,0.008732,0.045597,0.076924,0.014270,-9.34,1.25e-05,2025-08-21T09:23:53
34,0.032484,0.056826,0.008143,0.051535,0.084770,0.018300,-9.29,1.25e-05,2025-08-21T09:24:44
35,0.033014,0.057591,0.008437,0.055007,0.090907,0.019107,-9.25,1.25e-05,2025-08-21T09:25:35
36,0.033059,0.057150,0.008969,0.051564,0.084883,0.018244,-9.22,1.25e-05,2025-08-21T09:26:25
37,0.032893,0.057005,0.008782,0.053416,0.088192,0.018641,-9.23,1.25e-05,2025-08-21T09:27:15
