epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.081727,0.133408,0.030046,0.080222,0.133500,0.026945,-11.92,0.0001,2025-08-21T00:00:07
2,0.070105,0.114651,0.025560,0.080543,0.134289,0.026797,-11.93,0.0001,2025-08-21T00:01:18
3,0.067848,0.111414,0.024283,0.078849,0.131545,0.026154,-11.98,0.0001,2025-08-21T00:02:23
4,0.067564,0.111052,0.024076,0.080471,0.134473,0.026469,-11.88,0.0001,2025-08-21T00:03:35
5,0.066223,0.109279,0.023166,0.079928,0.133971,0.025884,-11.94,0.0001,2025-08-21T00:04:42
6,0.066976,0.110890,0.023061,0.079477,0.133175,0.025779,-11.96,0.0001,2025-08-21T00:05:49
7,0.064895,0.107755,0.022034,0.081264,0.136670,0.025858,-11.85,0.0001,2025-08-21T00:06:53
8,0.064707,0.107590,0.021825,0.079782,0.133847,0.025717,-11.94,0.0001,2025-08-21T00:07:57
9,0.064275,0.106969,0.021581,0.078694,0.131924,0.025464,-11.99,0.0001,2025-08-21T00:08:59
10,0.065039,0.108297,0.021781,0.078460,0.131595,0.025325,-12.00,0.0001,2025-08-21T00:10:08
11,0.065568,0.109173,0.021963,0.079069,0.132528,0.025610,-12.00,0.0001,2025-08-21T00:11:18
12,0.062389,0.103637,0.021141,0.078061,0.130872,0.025250,-11.99,0.0001,2025-08-21T00:12:20
13,0.062486,0.103845,0.021128,0.078622,0.131988,0.025255,-12.00,0.0001,2025-08-21T00:13:28
14,0.064075,0.106459,0.021691,0.078509,0.131674,0.025344,-12.05,0.0001,2025-08-21T00:14:28
15,0.059889,0.099590,0.020187,0.077663,0.130321,0.025005,-12.11,0.0001,2025-08-21T00:15:28
16,0.060210,0.100062,0.020358,0.076899,0.129015,0.024783,-12.17,0.0001,2025-08-21T00:16:36
17,0.058649,0.097764,0.019535,0.076651,0.128459,0.024843,-12.20,0.0001,2025-08-21T00:17:45
18,0.059588,0.099308,0.019869,0.078903,0.132267,0.025539,-12.11,0.0001,2025-08-21T00:18:52
19,0.059353,0.098963,0.019743,0.077181,0.129287,0.025074,-12.19,0.0001,2025-08-21T00:19:52
20,0.058424,0.097416,0.019432,0.076162,0.127888,0.024436,-12.26,0.0001,2025-08-21T00:20:52
21,0.057930,0.096695,0.019165,0.077023,0.129851,0.024195,-12.24,0.0001,2025-08-21T00:22:01
22,0.057212,0.095664,0.018760,0.075622,0.127024,0.024221,-12.38,0.0001,2025-08-21T00:23:00
23,0.056215,0.094047,0.018383,0.075069,0.126237,0.023901,-12.45,0.0001,2025-08-21T00:24:07
24,0.055690,0.093232,0.018148,0.074760,0.125568,0.023951,-12.51,0.0001,2025-08-21T00:25:14
25,0.055678,0.093254,0.018103,0.077402,0.130122,0.024682,-12.43,0.0001,2025-08-21T00:26:21
26,0.056808,0.094946,0.018671,0.075977,0.127944,0.024011,-12.48,0.0001,2025-08-21T00:27:19
27,0.055206,0.092517,0.017896,0.075605,0.126745,0.024466,-12.54,0.0001,2025-08-21T00:28:18
28,0.055311,0.092697,0.017924,0.078497,0.133466,0.023528,-12.36,0.0001,2025-08-21T00:29:18
29,0.054827,0.091893,0.017760,0.073594,0.123642,0.023547,-12.70,0.0001,2025-08-21T00:30:19
30,0.053439,0.089628,0.017250,0.073296,0.123207,0.023384,-12.74,0.0001,2025-08-21T00:31:29
31,0.054146,0.090777,0.017515,0.074004,0.124412,0.023596,-12.70,0.0001,2025-08-21T00:32:39
32,0.053392,0.089635,0.017150,0.073695,0.123944,0.023446,-12.72,0.0001,2025-08-21T00:33:42
33,0.054353,0.091347,0.017360,0.073392,0.123720,0.023064,-12.75,0.0001,2025-08-21T00:34:45
34,0.054484,0.091795,0.017173,0.074110,0.124375,0.023845,-12.72,0.0001,2025-08-21T00:35:49
35,0.052174,0.087689,0.016658,0.072673,0.122342,0.023005,-12.81,0.0001,2025-08-21T00:36:54
36,0.052389,0.088010,0.016769,0.073076,0.122655,0.023497,-12.81,0.0001,2025-08-21T00:38:07
37,0.052240,0.087893,0.016586,0.072516,0.121972,0.023060,-12.84,0.0001,2025-08-21T00:39:13
38,0.052790,0.088944,0.016636,0.074602,0.125847,0.023357,-12.65,0.0001,2025-08-21T00:40:26
39,0.052132,0.087645,0.016619,0.072648,0.122368,0.022928,-12.83,0.0001,2025-08-21T00:41:32
40,0.050348,0.084921,0.015776,0.073466,0.123460,0.023472,-12.80,0.0001,2025-08-21T00:42:39
41,0.051581,0.087096,0.016066,0.072405,0.122210,0.022600,-12.84,0.0001,2025-08-21T00:43:45
42,0.051338,0.087050,0.015627,0.072318,0.122134,0.022503,-12.86,0.0001,2025-08-21T00:45:00
43,0.050572,0.085909,0.015235,0.072154,0.121756,0.022552,-12.86,0.0001,2025-08-21T00:46:16
44,0.050361,0.085629,0.015094,0.071544,0.121017,0.022072,-12.91,0.0001,2025-08-21T00:47:29
45,0.050902,0.086413,0.015391,0.071963,0.121510,0.022415,-12.90,0.0001,2025-08-21T00:48:42
46,0.051374,0.087066,0.015681,0.072153,0.121810,0.022496,-12.87,0.0001,2025-08-21T00:49:45
47,0.049859,0.084765,0.014953,0.071853,0.121383,0.022324,-12.91,0.0001,2025-08-21T00:50:48
