epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.545772,0.859730,0.231814,0.478827,0.767706,0.189949,1.62,0.0001,2025-08-20T20:21:06
2,0.479493,0.758316,0.200669,0.440481,0.699438,0.181524,0.78,0.0001,2025-08-20T20:22:09
3,0.440882,0.676960,0.204804,0.404641,0.611892,0.197389,-0.30,0.0001,2025-08-20T20:23:15
4,0.417359,0.623201,0.211517,0.390839,0.589134,0.192545,-0.59,0.0001,2025-08-20T20:24:22
5,0.405352,0.604526,0.206178,0.379871,0.571998,0.187743,-0.78,0.0001,2025-08-20T20:25:29
6,0.394287,0.588097,0.200476,0.368898,0.553040,0.184756,-0.96,0.0001,2025-08-20T20:26:37
7,0.382091,0.568859,0.195323,0.353844,0.529175,0.178513,-1.17,0.0001,2025-08-20T20:27:44
8,0.371039,0.550747,0.191331,0.343044,0.510229,0.175858,-1.36,0.0001,2025-08-20T20:28:52
9,0.359576,0.531366,0.187787,0.331338,0.489723,0.172953,-1.56,0.0001,2025-08-20T20:29:59
10,0.349385,0.514237,0.184533,0.320293,0.472442,0.168144,-1.76,0.0001,2025-08-20T20:31:08
11,0.340165,0.499164,0.181166,0.311671,0.458449,0.164893,-1.94,0.0001,2025-08-20T20:32:17
12,0.332103,0.486122,0.178084,0.303076,0.444393,0.161758,-2.07,0.0001,2025-08-20T20:33:24
13,0.324031,0.473139,0.174923,0.296007,0.433647,0.158367,-2.26,0.0001,2025-08-20T20:34:31
14,0.317409,0.462997,0.171820,0.288914,0.420787,0.157041,-2.42,0.0001,2025-08-20T20:35:37
15,0.310420,0.451865,0.168975,0.283368,0.411797,0.154939,-2.53,0.0001,2025-08-20T20:36:43
16,0.303907,0.442026,0.165788,0.280792,0.406409,0.155175,-2.68,0.0001,2025-08-20T20:37:51
17,0.298453,0.433863,0.163044,0.272978,0.397351,0.148605,-2.83,0.0001,2025-08-20T20:39:00
18,0.290925,0.422169,0.159682,0.267370,0.386817,0.147922,-2.99,0.0001,2025-08-20T20:40:09
19,0.284588,0.412541,0.156634,0.260962,0.379689,0.142234,-3.08,0.0001,2025-08-20T20:41:20
20,0.278247,0.402995,0.153499,0.255996,0.373395,0.138597,-3.20,0.0001,2025-08-20T20:42:32
21,0.273581,0.396205,0.150958,0.251055,0.364725,0.137385,-3.38,0.0001,2025-08-20T20:43:45
22,0.269604,0.390491,0.148717,0.245020,0.358721,0.131320,-3.47,0.0001,2025-08-20T20:45:00
23,0.261083,0.377128,0.145039,0.240448,0.348321,0.132575,-3.65,0.0001,2025-08-20T20:46:15
24,0.255683,0.369195,0.142172,0.236645,0.343841,0.129449,-3.76,0.0001,2025-08-20T20:47:27
