epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.008129,0.000000,0.008129,0.004100,0.000000,0.004100,3.81,0.0001,2025-08-21T16:05:36
2,0.006989,0.000000,0.006989,0.004193,0.000000,0.004193,3.85,0.0001,2025-08-21T16:05:56
3,0.006641,0.000000,0.006641,0.003262,0.000000,0.003262,3.83,0.0001,2025-08-21T16:06:12
4,0.006411,0.000000,0.006411,0.003384,0.000000,0.003384,3.83,0.0001,2025-08-21T16:06:33
5,0.006318,0.000000,0.006318,0.003708,0.000000,0.003708,3.86,0.0001,2025-08-21T16:06:48
6,0.006368,0.000000,0.006368,0.003737,0.000000,0.003737,3.86,0.0001,2025-08-21T16:07:04
7,0.005955,0.000000,0.005955,0.003359,0.000000,0.003359,3.83,0.0001,2025-08-21T16:07:19
8,0.005931,0.000000,0.005931,0.003599,0.000000,0.003599,3.83,0.0001,2025-08-21T16:07:35
9,0.005816,0.000000,0.005816,0.003669,0.000000,0.003669,3.85,5e-05,2025-08-21T16:07:50
10,0.004760,0.000000,0.004760,0.003233,0.000000,0.003233,3.83,5e-05,2025-08-21T16:08:06
11,0.004515,0.000000,0.004515,0.003259,0.000000,0.003259,3.84,5e-05,2025-08-21T16:08:27
12,0.004449,0.000000,0.004449,0.003145,0.000000,0.003145,3.84,5e-05,2025-08-21T16:08:43
13,0.004440,0.000000,0.004440,0.003271,0.000000,0.003271,3.85,5e-05,2025-08-21T16:09:04
14,0.004443,0.000000,0.004443,0.003189,0.000000,0.003189,3.84,5e-05,2025-08-21T16:09:20
15,0.004499,0.000000,0.004499,0.003360,0.000000,0.003360,3.85,5e-05,2025-08-21T16:09:36
16,0.004439,0.000000,0.004439,0.003236,0.000000,0.003236,3.84,5e-05,2025-08-21T16:09:51
17,0.004240,0.000000,0.004240,0.003367,0.000000,0.003367,3.85,5e-05,2025-08-21T16:10:07
18,0.004393,0.000000,0.004393,0.003188,0.000000,0.003188,3.84,2.5e-05,2025-08-21T16:10:23
19,0.003960,0.000000,0.003960,0.003173,0.000000,0.003173,3.84,2.5e-05,2025-08-21T16:10:40
20,0.003675,0.000000,0.003675,0.003217,0.000000,0.003217,3.85,2.5e-05,2025-08-21T16:10:56
21,0.003668,0.000000,0.003668,0.003203,0.000000,0.003203,3.85,2.5e-05,2025-08-21T16:11:12
22,0.003686,0.000000,0.003686,0.003117,0.000000,0.003117,3.84,2.5e-05,2025-08-21T16:11:29
23,0.003629,0.000000,0.003629,0.003123,0.000000,0.003123,3.84,2.5e-05,2025-08-21T16:11:53
24,0.003619,0.000000,0.003619,0.003170,0.000000,0.003170,3.84,2.5e-05,2025-08-21T16:12:09
25,0.003623,0.000000,0.003623,0.003131,0.000000,0.003131,3.84,2.5e-05,2025-08-21T16:12:25
26,0.003620,0.000000,0.003620,0.003134,0.000000,0.003134,3.84,2.5e-05,2025-08-21T16:12:41
27,0.003628,0.000000,0.003628,0.003218,0.000000,0.003218,3.84,2.5e-05,2025-08-21T16:12:56
28,0.003649,0.000000,0.003649,0.003198,0.000000,0.003198,3.84,1.25e-05,2025-08-21T16:13:13
29,0.003391,0.000000,0.003391,0.003164,0.000000,0.003164,3.84,1.25e-05,2025-08-21T16:13:28
30,0.003308,0.000000,0.003308,0.003186,0.000000,0.003186,3.84,1.25e-05,2025-08-21T16:13:44
31,0.003291,0.000000,0.003291,0.003172,0.000000,0.003172,3.84,1.25e-05,2025-08-21T16:13:59
32,0.003283,0.000000,0.003283,0.003135,0.000000,0.003135,3.84,1.25e-05,2025-08-21T16:14:15
