epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.018407,0.000000,0.018407,0.005149,0.000000,0.005149,3.81,0.0001,2025-08-21T15:56:37
2,0.016392,0.000000,0.016392,0.005441,0.000000,0.005441,3.85,0.0001,2025-08-21T15:56:57
3,0.015511,0.000000,0.015511,0.004773,0.000000,0.004773,3.77,0.0001,2025-08-21T15:57:12
4,0.014545,0.000000,0.014545,0.004739,0.000000,0.004739,3.78,0.0001,2025-08-21T15:57:33
5,0.013456,0.000000,0.013456,0.004542,0.000000,0.004542,3.83,0.0001,2025-08-21T15:57:54
6,0.012498,0.000000,0.012498,0.004315,0.000000,0.004315,3.81,0.0001,2025-08-21T15:58:15
7,0.012004,0.000000,0.012004,0.004675,0.000000,0.004675,3.78,0.0001,2025-08-21T15:58:37
8,0.011096,0.000000,0.011096,0.004245,0.000000,0.004245,3.81,0.0001,2025-08-21T15:58:53
9,0.010169,0.000000,0.010169,0.004301,0.000000,0.004301,3.83,0.0001,2025-08-21T15:59:17
10,0.009567,0.000000,0.009567,0.004421,0.000000,0.004421,3.79,0.0001,2025-08-21T15:59:33
11,0.009156,0.000000,0.009156,0.004655,0.000000,0.004655,3.79,0.0001,2025-08-21T15:59:49
12,0.008775,0.000000,0.008775,0.006246,0.000000,0.006246,3.73,0.0001,2025-08-21T16:00:05
13,0.008193,0.000000,0.008193,0.004257,0.000000,0.004257,3.81,0.0001,2025-08-21T16:00:20
14,0.007798,0.000000,0.007798,0.004350,0.000000,0.004350,3.81,5e-05,2025-08-21T16:00:35
15,0.006817,0.000000,0.006817,0.004118,0.000000,0.004118,3.81,5e-05,2025-08-21T16:00:51
16,0.006678,0.000000,0.006678,0.004151,0.000000,0.004151,3.81,5e-05,2025-08-21T16:01:12
17,0.006305,0.000000,0.006305,0.004103,0.000000,0.004103,3.81,5e-05,2025-08-21T16:01:27
18,0.006175,0.000000,0.006175,0.004202,0.000000,0.004202,3.81,5e-05,2025-08-21T16:01:48
19,0.006122,0.000000,0.006122,0.004083,0.000000,0.004083,3.81,5e-05,2025-08-21T16:02:04
20,0.006097,0.000000,0.006097,0.004428,0.000000,0.004428,3.79,5e-05,2025-08-21T16:02:25
21,0.005920,0.000000,0.005920,0.004499,0.000000,0.004499,3.79,5e-05,2025-08-21T16:02:40
22,0.005692,0.000000,0.005692,0.004407,0.000000,0.004407,3.80,5e-05,2025-08-21T16:02:56
23,0.005717,0.000000,0.005717,0.004554,0.000000,0.004554,3.79,5e-05,2025-08-21T16:03:11
24,0.005623,0.000000,0.005623,0.004238,0.000000,0.004238,3.81,5e-05,2025-08-21T16:03:27
25,0.005556,0.000000,0.005556,0.004138,0.000000,0.004138,3.81,2.5e-05,2025-08-21T16:03:42
26,0.005051,0.000000,0.005051,0.004162,0.000000,0.004162,3.81,2.5e-05,2025-08-21T16:03:58
27,0.004837,0.000000,0.004837,0.004299,0.000000,0.004299,3.80,2.5e-05,2025-08-21T16:04:14
28,0.004767,0.000000,0.004767,0.004284,0.000000,0.004284,3.80,2.5e-05,2025-08-21T16:04:29
29,0.004765,0.000000,0.004765,0.004365,0.000000,0.004365,3.80,2.5e-05,2025-08-21T16:04:45
