epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.032192,0.000000,0.032192,0.009398,0.000000,0.009398,4.24,0.0001,2025-08-21T15:00:43
2,0.029966,0.000000,0.029966,0.008471,0.000000,0.008471,4.22,0.0001,2025-08-21T15:01:41
3,0.028676,0.000000,0.028676,0.008965,0.000000,0.008965,4.26,0.0001,2025-08-21T15:02:39
4,0.029324,0.000000,0.029324,0.008341,0.000000,0.008341,4.24,0.0001,2025-08-21T15:03:32
5,0.028235,0.000000,0.028235,0.009324,0.000000,0.009324,4.28,0.0001,2025-08-21T15:04:29
6,0.028397,0.000000,0.028397,0.009207,0.000000,0.009207,4.21,0.0001,2025-08-21T15:05:23
7,0.027874,0.000000,0.027874,0.009876,0.000000,0.009876,4.29,0.0001,2025-08-21T15:06:16
8,0.029074,0.000000,0.029074,0.008350,0.000000,0.008350,4.24,0.0001,2025-08-21T15:07:10
9,0.027356,0.000000,0.027356,0.007778,0.000000,0.007778,4.24,0.0001,2025-08-21T15:08:04
10,0.026959,0.000000,0.026959,0.007882,0.000000,0.007882,4.27,0.0001,2025-08-21T15:09:03
11,0.026878,0.000000,0.026878,0.008464,0.000000,0.008464,4.27,0.0001,2025-08-21T15:09:56
12,0.026948,0.000000,0.026948,0.008752,0.000000,0.008752,4.25,0.0001,2025-08-21T15:10:49
13,0.025862,0.000000,0.025862,0.008911,0.000000,0.008911,4.27,0.0001,2025-08-21T15:11:42
14,0.025231,0.000000,0.025231,0.007932,0.000000,0.007932,4.25,0.0001,2025-08-21T15:12:36
15,0.024975,0.000000,0.024975,0.008524,0.000000,0.008524,4.28,5e-05,2025-08-21T15:13:30
16,0.023479,0.000000,0.023479,0.008019,0.000000,0.008019,4.28,5e-05,2025-08-21T15:14:24
17,0.023134,0.000000,0.023134,0.007884,0.000000,0.007884,4.28,5e-05,2025-08-21T15:15:18
18,0.023112,0.000000,0.023112,0.008192,0.000000,0.008192,4.26,5e-05,2025-08-21T15:16:13
19,0.022708,0.000000,0.022708,0.008266,0.000000,0.008266,4.26,5e-05,2025-08-21T15:17:08
