epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.180488,0.000000,0.180488,0.156138,0.000000,0.156138,1.84,0.0001,2025-08-21T13:43:58
2,0.164228,0.000000,0.164228,0.145094,0.000000,0.145094,2.03,0.0001,2025-08-21T13:44:52
3,0.151516,0.000000,0.151516,0.135189,0.000000,0.135189,1.99,0.0001,2025-08-21T13:45:48
4,0.138943,0.000000,0.138943,0.116966,0.000000,0.116966,2.47,0.0001,2025-08-21T13:46:44
5,0.090640,0.000000,0.090640,0.033281,0.000000,0.033281,3.44,0.0001,2025-08-21T13:47:40
6,0.053013,0.000000,0.053013,0.022374,0.000000,0.022374,3.50,0.0001,2025-08-21T13:48:38
7,0.047529,0.000000,0.047529,0.020166,0.000000,0.020166,3.49,0.0001,2025-08-21T13:49:35
8,0.044984,0.000000,0.044984,0.020789,0.000000,0.020789,3.59,0.0001,2025-08-21T13:50:33
9,0.043776,0.000000,0.043776,0.018723,0.000000,0.018723,3.58,0.0001,2025-08-21T13:51:24
10,0.041304,0.000000,0.041304,0.017610,0.000000,0.017610,3.67,0.0001,2025-08-21T13:52:20
11,0.040194,0.000000,0.040194,0.014637,0.000000,0.014637,3.58,0.0001,2025-08-21T13:53:16
12,0.039503,0.000000,0.039503,0.015288,0.000000,0.015288,3.53,0.0001,2025-08-21T13:54:10
13,0.037551,0.000000,0.037551,0.015046,0.000000,0.015046,3.60,0.0001,2025-08-21T13:55:01
14,0.037353,0.000000,0.037353,0.014540,0.000000,0.014540,3.68,0.0001,2025-08-21T13:55:51
15,0.036487,0.000000,0.036487,0.013160,0.000000,0.013160,3.66,0.0001,2025-08-21T13:56:47
16,0.036359,0.000000,0.036359,0.013444,0.000000,0.013444,3.64,0.0001,2025-08-21T13:57:43
17,0.036489,0.000000,0.036489,0.013683,0.000000,0.013683,3.67,0.0001,2025-08-21T13:58:34
18,0.035721,0.000000,0.035721,0.013431,0.000000,0.013431,3.68,0.0001,2025-08-21T13:59:23
19,0.035207,0.000000,0.035207,0.013703,0.000000,0.013703,3.73,0.0001,2025-08-21T14:00:12
20,0.035108,0.000000,0.035108,0.013165,0.000000,0.013165,3.70,0.0001,2025-08-21T14:01:02
21,0.035952,0.000000,0.035952,0.012782,0.000000,0.012782,3.75,0.0001,2025-08-21T14:01:50
22,0.034790,0.000000,0.034790,0.013756,0.000000,0.013756,3.79,0.0001,2025-08-21T14:02:45
23,0.034253,0.000000,0.034253,0.011711,0.000000,0.011711,3.76,0.0001,2025-08-21T14:03:35
24,0.034004,0.000000,0.034004,0.011551,0.000000,0.011551,3.80,0.0001,2025-08-21T14:04:31
25,0.033766,0.000000,0.033766,0.012069,0.000000,0.012069,3.83,0.0001,2025-08-21T14:05:30
26,0.033933,0.000000,0.033933,0.011445,0.000000,0.011445,3.85,0.0001,2025-08-21T14:06:21
27,0.033666,0.000000,0.033666,0.010791,0.000000,0.010791,3.86,0.0001,2025-08-21T14:07:20
28,0.034428,0.000000,0.034428,0.011945,0.000000,0.011945,3.93,0.0001,2025-08-21T14:08:15
29,0.033892,0.000000,0.033892,0.010815,0.000000,0.010815,3.91,0.0001,2025-08-21T14:09:05
30,0.032748,0.000000,0.032748,0.011042,0.000000,0.011042,3.93,0.0001,2025-08-21T14:09:54
31,0.033072,0.000000,0.033072,0.011098,0.000000,0.011098,3.94,0.0001,2025-08-21T14:10:44
32,0.032642,0.000000,0.032642,0.010185,0.000000,0.010185,3.94,0.0001,2025-08-21T14:11:34
33,0.032754,0.000000,0.032754,0.012644,0.000000,0.012644,3.90,0.0001,2025-08-21T14:12:30
34,0.032836,0.000000,0.032836,0.010085,0.000000,0.010085,3.97,0.0001,2025-08-21T14:13:20
35,0.032429,0.000000,0.032429,0.009920,0.000000,0.009920,4.00,0.0001,2025-08-21T14:14:15
36,0.033274,0.000000,0.033274,0.010796,0.000000,0.010796,3.98,0.0001,2025-08-21T14:15:13
37,0.032085,0.000000,0.032085,0.010007,0.000000,0.010007,4.01,0.0001,2025-08-21T14:16:04
38,0.031550,0.000000,0.031550,0.009561,0.000000,0.009561,4.03,0.0001,2025-08-21T14:16:55
39,0.031763,0.000000,0.031763,0.011439,0.000000,0.011439,4.07,0.0001,2025-08-21T14:17:52
40,0.032341,0.000000,0.032341,0.009622,0.000000,0.009622,4.06,0.0001,2025-08-21T14:18:42
41,0.031996,0.000000,0.031996,0.009509,0.000000,0.009509,4.09,0.0001,2025-08-21T14:19:32
42,0.031385,0.000000,0.031385,0.009515,0.000000,0.009515,4.07,0.0001,2025-08-21T14:20:29
43,0.034123,0.000000,0.034123,0.011593,0.000000,0.011593,4.08,0.0001,2025-08-21T14:21:18
44,0.031873,0.000000,0.031873,0.009848,0.000000,0.009848,4.09,0.0001,2025-08-21T14:22:07
45,0.031421,0.000000,0.031421,0.009910,0.000000,0.009910,4.13,0.0001,2025-08-21T14:22:56
