epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.040638,0.040638,0.000000,0.043093,0.043093,0.000000,-16.34,0.0001,2025-08-21T13:32:30
2,0.030197,0.030197,0.000000,0.043315,0.043315,0.000000,-16.16,0.0001,2025-08-21T13:32:49
3,0.028723,0.028723,0.000000,0.043687,0.043687,0.000000,-16.34,0.0001,2025-08-21T13:33:04
4,0.027032,0.027032,0.000000,0.042297,0.042297,0.000000,-16.26,0.0001,2025-08-21T13:33:20
5,0.025624,0.025624,0.000000,0.043092,0.043092,0.000000,-16.40,0.0001,2025-08-21T13:33:40
6,0.024466,0.024466,0.000000,0.041090,0.041090,0.000000,-16.43,0.0001,2025-08-21T13:33:56
7,0.025063,0.025063,0.000000,0.043913,0.043913,0.000000,-16.43,0.0001,2025-08-21T13:34:17
8,0.024037,0.024037,0.000000,0.041213,0.041213,0.000000,-16.40,0.0001,2025-08-21T13:34:33
9,0.023194,0.023194,0.000000,0.044968,0.044968,0.000000,-16.38,0.0001,2025-08-21T13:34:49
10,0.023218,0.023218,0.000000,0.042990,0.042990,0.000000,-16.47,0.0001,2025-08-21T13:35:05
11,0.022987,0.022987,0.000000,0.042930,0.042930,0.000000,-16.47,0.0001,2025-08-21T13:35:21
12,0.021430,0.021430,0.000000,0.040024,0.040024,0.000000,-16.63,0.0001,2025-08-21T13:35:37
13,0.021029,0.021029,0.000000,0.041464,0.041464,0.000000,-16.49,0.0001,2025-08-21T13:35:59
14,0.022441,0.022441,0.000000,0.040707,0.040707,0.000000,-16.50,0.0001,2025-08-21T13:36:15
15,0.020847,0.020847,0.000000,0.041762,0.041762,0.000000,-16.54,0.0001,2025-08-21T13:36:31
16,0.020528,0.020528,0.000000,0.044861,0.044861,0.000000,-16.33,0.0001,2025-08-21T13:36:47
17,0.019876,0.019876,0.000000,0.042658,0.042658,0.000000,-16.54,0.0001,2025-08-21T13:37:04
18,0.020445,0.020445,0.000000,0.042487,0.042487,0.000000,-16.50,5e-05,2025-08-21T13:37:20
19,0.016282,0.016282,0.000000,0.040088,0.040088,0.000000,-16.61,5e-05,2025-08-21T13:37:36
20,0.015409,0.015409,0.000000,0.042609,0.042609,0.000000,-16.49,5e-05,2025-08-21T13:37:52
21,0.015055,0.015055,0.000000,0.042149,0.042149,0.000000,-16.56,5e-05,2025-08-21T13:38:08
22,0.015262,0.015262,0.000000,0.040856,0.040856,0.000000,-16.57,5e-05,2025-08-21T13:38:24
