epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.137382,0.137382,0.000000,0.069602,0.069602,0.000000,-9.17,0.0001,2025-08-21T12:57:19
2,0.105245,0.105245,0.000000,0.061198,0.061198,0.000000,-9.37,0.0001,2025-08-21T12:57:47
3,0.093476,0.093476,0.000000,0.049794,0.049794,0.000000,-9.67,0.0001,2025-08-21T12:58:16
4,0.085862,0.085862,0.000000,0.048483,0.048483,0.000000,-9.91,0.0001,2025-08-21T12:58:45
5,0.081662,0.081662,0.000000,0.049270,0.049270,0.000000,-10.13,0.0001,2025-08-21T12:59:15
6,0.079798,0.079798,0.000000,0.052429,0.052429,0.000000,-10.38,0.0001,2025-08-21T12:59:39
7,0.079855,0.079855,0.000000,0.048774,0.048774,0.000000,-10.62,0.0001,2025-08-21T13:00:03
8,0.078361,0.078361,0.000000,0.049158,0.049158,0.000000,-10.86,0.0001,2025-08-21T13:00:27
9,0.075237,0.075237,0.000000,0.046940,0.046940,0.000000,-11.17,0.0001,2025-08-21T13:00:51
10,0.070508,0.070508,0.000000,0.045355,0.045355,0.000000,-11.47,0.0001,2025-08-21T13:01:20
11,0.066925,0.066925,0.000000,0.045604,0.045604,0.000000,-11.80,0.0001,2025-08-21T13:01:49
12,0.061323,0.061323,0.000000,0.043110,0.043110,0.000000,-12.17,0.0001,2025-08-21T13:02:14
13,0.056720,0.056720,0.000000,0.045180,0.045180,0.000000,-12.48,0.0001,2025-08-21T13:02:44
14,0.054342,0.054342,0.000000,0.044316,0.044316,0.000000,-12.83,0.0001,2025-08-21T13:03:09
15,0.049760,0.049760,0.000000,0.045240,0.045240,0.000000,-13.11,0.0001,2025-08-21T13:03:34
16,0.049022,0.049022,0.000000,0.046465,0.046465,0.000000,-13.24,0.0001,2025-08-21T13:03:59
17,0.047579,0.047579,0.000000,0.044218,0.044218,0.000000,-13.44,0.0001,2025-08-21T13:04:24
18,0.044872,0.044872,0.000000,0.045205,0.045205,0.000000,-13.41,5e-05,2025-08-21T13:04:48
19,0.038343,0.038343,0.000000,0.041995,0.041995,0.000000,-13.54,5e-05,2025-08-21T13:05:12
20,0.036488,0.036488,0.000000,0.042210,0.042210,0.000000,-13.58,5e-05,2025-08-21T13:05:42
21,0.035787,0.035787,0.000000,0.043134,0.043134,0.000000,-13.58,5e-05,2025-08-21T13:06:06
22,0.035270,0.035270,0.000000,0.041002,0.041002,0.000000,-13.66,5e-05,2025-08-21T13:06:31
23,0.034604,0.034604,0.000000,0.043199,0.043199,0.000000,-13.65,5e-05,2025-08-21T13:07:01
24,0.034595,0.034595,0.000000,0.042558,0.042558,0.000000,-13.70,5e-05,2025-08-21T13:07:26
25,0.033945,0.033945,0.000000,0.041700,0.041700,0.000000,-13.76,5e-05,2025-08-21T13:07:50
26,0.033801,0.033801,0.000000,0.042978,0.042978,0.000000,-13.80,5e-05,2025-08-21T13:08:15
27,0.032758,0.032758,0.000000,0.040680,0.040680,0.000000,-13.82,5e-05,2025-08-21T13:08:39
28,0.031900,0.031900,0.000000,0.042001,0.042001,0.000000,-13.84,5e-05,2025-08-21T13:09:11
29,0.031542,0.031542,0.000000,0.041766,0.041766,0.000000,-13.88,5e-05,2025-08-21T13:09:35
30,0.032823,0.032823,0.000000,0.041285,0.041285,0.000000,-13.94,5e-05,2025-08-21T13:09:59
31,0.031622,0.031622,0.000000,0.039648,0.039648,0.000000,-13.98,5e-05,2025-08-21T13:10:24
32,0.030669,0.030669,0.000000,0.044630,0.044630,0.000000,-13.96,5e-05,2025-08-21T13:10:54
33,0.030359,0.030359,0.000000,0.042797,0.042797,0.000000,-14.02,5e-05,2025-08-21T13:11:19
34,0.031017,0.031017,0.000000,0.040666,0.040666,0.000000,-14.09,5e-05,2025-08-21T13:11:44
35,0.029393,0.029393,0.000000,0.040648,0.040648,0.000000,-14.17,5e-05,2025-08-21T13:12:08
36,0.028774,0.028774,0.000000,0.041842,0.041842,0.000000,-14.20,5e-05,2025-08-21T13:12:32
37,0.028478,0.028478,0.000000,0.041582,0.041582,0.000000,-14.24,2.5e-05,2025-08-21T13:12:56
38,0.025620,0.025620,0.000000,0.041028,0.041028,0.000000,-14.26,2.5e-05,2025-08-21T13:13:20
39,0.025063,0.025063,0.000000,0.040588,0.040588,0.000000,-14.27,2.5e-05,2025-08-21T13:13:45
40,0.025323,0.025323,0.000000,0.041443,0.041443,0.000000,-14.26,2.5e-05,2025-08-21T13:14:09
41,0.025074,0.025074,0.000000,0.041508,0.041508,0.000000,-14.31,2.5e-05,2025-08-21T13:14:32
