epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.073631,0.073631,0.000000,0.090318,0.090318,0.000000,-17.39,0.0001,2025-08-21T12:23:34
2,0.054025,0.054025,0.000000,0.090738,0.090738,0.000000,-17.38,0.0001,2025-08-21T12:24:33
3,0.050402,0.050402,0.000000,0.090828,0.090828,0.000000,-17.37,0.0001,2025-08-21T12:25:25
4,0.046614,0.046614,0.000000,0.089488,0.089488,0.000000,-17.52,0.0001,2025-08-21T12:26:18
5,0.044831,0.044831,0.000000,0.092130,0.092130,0.000000,-17.29,0.0001,2025-08-21T12:27:16
6,0.044926,0.044926,0.000000,0.089680,0.089680,0.000000,-17.50,0.0001,2025-08-21T12:28:07
7,0.042544,0.042544,0.000000,0.089249,0.089249,0.000000,-17.56,0.0001,2025-08-21T12:28:59
8,0.041402,0.041402,0.000000,0.087516,0.087516,0.000000,-17.75,0.0001,2025-08-21T12:29:56
9,0.040814,0.040814,0.000000,0.088578,0.088578,0.000000,-17.65,0.0001,2025-08-21T12:30:55
10,0.042720,0.042720,0.000000,0.087457,0.087457,0.000000,-17.77,0.0001,2025-08-21T12:31:46
11,0.042547,0.042547,0.000000,0.089554,0.089554,0.000000,-17.57,0.0001,2025-08-21T12:32:44
12,0.040227,0.040227,0.000000,0.087300,0.087300,0.000000,-17.80,0.0001,2025-08-21T12:33:35
13,0.040154,0.040154,0.000000,0.088628,0.088628,0.000000,-17.65,0.0001,2025-08-21T12:34:33
14,0.038998,0.038998,0.000000,0.087352,0.087352,0.000000,-17.78,0.0001,2025-08-21T12:35:25
15,0.037665,0.037665,0.000000,0.087308,0.087308,0.000000,-17.80,0.0001,2025-08-21T12:36:17
16,0.037891,0.037891,0.000000,0.087831,0.087831,0.000000,-17.73,0.0001,2025-08-21T12:37:10
17,0.040032,0.040032,0.000000,0.087112,0.087112,0.000000,-17.83,0.0001,2025-08-21T12:38:02
18,0.038247,0.038247,0.000000,0.087659,0.087659,0.000000,-17.76,0.0001,2025-08-21T12:38:59
19,0.038034,0.038034,0.000000,0.087110,0.087110,0.000000,-17.83,0.0001,2025-08-21T12:39:50
20,0.035861,0.035861,0.000000,0.086229,0.086229,0.000000,-17.91,0.0001,2025-08-21T12:40:47
21,0.037391,0.037391,0.000000,0.087493,0.087493,0.000000,-17.79,0.0001,2025-08-21T12:41:44
22,0.036038,0.036038,0.000000,0.086653,0.086653,0.000000,-17.87,0.0001,2025-08-21T12:42:35
23,0.034858,0.034858,0.000000,0.086767,0.086767,0.000000,-17.87,0.0001,2025-08-21T12:43:27
24,0.034416,0.034416,0.000000,0.086566,0.086566,0.000000,-17.87,0.0001,2025-08-21T12:44:19
25,0.034102,0.034102,0.000000,0.086493,0.086493,0.000000,-17.90,0.0001,2025-08-21T12:45:11
26,0.036271,0.036271,0.000000,0.087052,0.087052,0.000000,-17.83,5e-05,2025-08-21T12:46:03
27,0.029545,0.029545,0.000000,0.086206,0.086206,0.000000,-17.92,5e-05,2025-08-21T12:46:54
28,0.027091,0.027091,0.000000,0.086247,0.086247,0.000000,-17.93,5e-05,2025-08-21T12:47:51
29,0.028075,0.028075,0.000000,0.086564,0.086564,0.000000,-17.90,5e-05,2025-08-21T12:48:43
30,0.028062,0.028062,0.000000,0.086514,0.086514,0.000000,-17.90,5e-05,2025-08-21T12:49:36
31,0.027616,0.027616,0.000000,0.086554,0.086554,0.000000,-17.89,5e-05,2025-08-21T12:50:28
32,0.027692,0.027692,0.000000,0.087187,0.087187,0.000000,-17.82,5e-05,2025-08-21T12:51:19
33,0.028271,0.028271,0.000000,0.086602,0.086602,0.000000,-17.89,5e-05,2025-08-21T12:52:11
34,0.028130,0.028130,0.000000,0.086571,0.086571,0.000000,-17.90,2.5e-05,2025-08-21T12:53:03
35,0.024959,0.024959,0.000000,0.086572,0.086572,0.000000,-17.90,2.5e-05,2025-08-21T12:53:55
36,0.024020,0.024020,0.000000,0.086726,0.086726,0.000000,-17.88,2.5e-05,2025-08-21T12:54:47
37,0.023978,0.023978,0.000000,0.086807,0.086807,0.000000,-17.87,2.5e-05,2025-08-21T12:55:39
38,0.023923,0.023923,0.000000,0.086397,0.086397,0.000000,-17.92,2.5e-05,2025-08-21T12:56:30
