epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.753868,0.753868,0.000000,0.674551,0.674551,0.000000,0.27,0.0001,2025-08-21T10:58:00
2,0.688061,0.688061,0.000000,0.640884,0.640884,0.000000,-0.03,0.0001,2025-08-21T10:58:53
3,0.657068,0.657068,0.000000,0.609303,0.609303,0.000000,-0.29,0.0001,2025-08-21T10:59:47
4,0.626706,0.626706,0.000000,0.576866,0.576866,0.000000,-0.54,0.0001,2025-08-21T11:00:42
5,0.596597,0.596597,0.000000,0.546703,0.546703,0.000000,-0.80,0.0001,2025-08-21T11:01:37
6,0.568438,0.568438,0.000000,0.524310,0.524310,0.000000,-0.99,0.0001,2025-08-21T11:02:32
7,0.543648,0.543648,0.000000,0.503090,0.503090,0.000000,-1.21,0.0001,2025-08-21T11:03:29
8,0.518477,0.518477,0.000000,0.479677,0.479677,0.000000,-1.43,0.0001,2025-08-21T11:04:26
9,0.495802,0.495802,0.000000,0.457984,0.457984,0.000000,-1.64,0.0001,2025-08-21T11:05:22
10,0.474324,0.474324,0.000000,0.441772,0.441772,0.000000,-1.86,0.0001,2025-08-21T11:06:17
11,0.455101,0.455101,0.000000,0.424447,0.424447,0.000000,-2.11,0.0001,2025-08-21T11:07:12
12,0.436930,0.436930,0.000000,0.406939,0.406939,0.000000,-2.37,0.0001,2025-08-21T11:08:07
13,0.419438,0.419438,0.000000,0.394110,0.394110,0.000000,-2.66,0.0001,2025-08-21T11:09:04
14,0.399974,0.399974,0.000000,0.375875,0.375875,0.000000,-2.96,0.0001,2025-08-21T11:09:58
15,0.383505,0.383505,0.000000,0.362464,0.362464,0.000000,-3.27,0.0001,2025-08-21T11:10:56
16,0.365286,0.365286,0.000000,0.345124,0.345124,0.000000,-3.65,0.0001,2025-08-21T11:11:53
17,0.348880,0.348880,0.000000,0.329593,0.329593,0.000000,-4.00,0.0001,2025-08-21T11:12:50
18,0.332237,0.332237,0.000000,0.314237,0.314237,0.000000,-4.41,0.0001,2025-08-21T11:13:45
19,0.316621,0.316621,0.000000,0.298627,0.298627,0.000000,-4.82,0.0001,2025-08-21T11:14:40
20,0.299526,0.299526,0.000000,0.284013,0.284013,0.000000,-5.25,0.0001,2025-08-21T11:15:36
21,0.285028,0.285028,0.000000,0.269308,0.269308,0.000000,-5.70,0.0001,2025-08-21T11:16:34
22,0.268738,0.268738,0.000000,0.255260,0.255260,0.000000,-6.17,0.0001,2025-08-21T11:17:31
23,0.259593,0.259593,0.000000,0.237555,0.237555,0.000000,-6.61,0.0001,2025-08-21T11:18:30
24,0.239627,0.239627,0.000000,0.223113,0.223113,0.000000,-7.08,0.0001,2025-08-21T11:19:25
25,0.223204,0.223204,0.000000,0.208088,0.208088,0.000000,-7.51,0.0001,2025-08-21T11:20:20
26,0.208698,0.208698,0.000000,0.196999,0.196999,0.000000,-7.87,0.0001,2025-08-21T11:21:15
27,0.196085,0.196085,0.000000,0.183786,0.183786,0.000000,-8.24,0.0001,2025-08-21T11:22:09
28,0.181382,0.181382,0.000000,0.173619,0.173619,0.000000,-8.58,0.0001,2025-08-21T11:23:03
29,0.171248,0.171248,0.000000,0.166864,0.166864,0.000000,-8.86,0.0001,2025-08-21T11:23:57
30,0.161381,0.161381,0.000000,0.157165,0.157165,0.000000,-9.21,0.0001,2025-08-21T11:24:51
31,0.153770,0.153770,0.000000,0.148675,0.148675,0.000000,-9.56,0.0001,2025-08-21T11:25:45
32,0.144159,0.144159,0.000000,0.141484,0.141484,0.000000,-10.04,0.0001,2025-08-21T11:26:39
33,0.136038,0.136038,0.000000,0.135017,0.135017,0.000000,-10.39,0.0001,2025-08-21T11:27:35
34,0.145918,0.145918,0.000000,0.130092,0.130092,0.000000,-10.63,0.0001,2025-08-21T11:28:31
35,0.125756,0.125756,0.000000,0.125690,0.125690,0.000000,-10.91,0.0001,2025-08-21T11:29:28
36,0.117958,0.117958,0.000000,0.118997,0.118997,0.000000,-11.24,0.0001,2025-08-21T11:30:25
37,0.111892,0.111892,0.000000,0.114615,0.114615,0.000000,-11.50,0.0001,2025-08-21T11:31:21
38,0.108819,0.108819,0.000000,0.117878,0.117878,0.000000,-11.74,0.0001,2025-08-21T11:32:16
39,0.104872,0.104872,0.000000,0.111663,0.111663,0.000000,-12.05,0.0001,2025-08-21T11:33:07
40,0.098830,0.098830,0.000000,0.102843,0.102843,0.000000,-12.50,0.0001,2025-08-21T11:34:02
41,0.095642,0.095642,0.000000,0.103048,0.103048,0.000000,-12.75,0.0001,2025-08-21T11:34:58
42,0.091469,0.091469,0.000000,0.097874,0.097874,0.000000,-13.14,0.0001,2025-08-21T11:35:48
43,0.088793,0.088793,0.000000,0.094262,0.094262,0.000000,-13.54,0.0001,2025-08-21T11:36:44
44,0.083924,0.083924,0.000000,0.092301,0.092301,0.000000,-13.90,0.0001,2025-08-21T11:37:39
45,0.080821,0.080821,0.000000,0.091609,0.091609,0.000000,-14.38,0.0001,2025-08-21T11:38:34
46,0.078163,0.078163,0.000000,0.088442,0.088442,0.000000,-14.76,0.0001,2025-08-21T11:39:28
47,0.075484,0.075484,0.000000,0.086083,0.086083,0.000000,-14.99,0.0001,2025-08-21T11:40:24
48,0.073207,0.073207,0.000000,0.083619,0.083619,0.000000,-15.18,0.0001,2025-08-21T11:41:18
49,0.069723,0.069723,0.000000,0.083549,0.083549,0.000000,-15.30,0.0001,2025-08-21T11:42:14
50,0.068035,0.068035,0.000000,0.080936,0.080936,0.000000,-15.42,0.0001,2025-08-21T11:43:07
51,0.065885,0.065885,0.000000,0.082273,0.082273,0.000000,-15.53,0.0001,2025-08-21T11:44:01
52,0.064327,0.064327,0.000000,0.080521,0.080521,0.000000,-15.66,0.0001,2025-08-21T11:44:51
53,0.060630,0.060630,0.000000,0.081083,0.081083,0.000000,-15.64,0.0001,2025-08-21T11:45:46
54,0.060279,0.060279,0.000000,0.079834,0.079834,0.000000,-15.91,0.0001,2025-08-21T11:46:36
55,0.060628,0.060628,0.000000,0.075748,0.075748,0.000000,-16.23,0.0001,2025-08-21T11:47:31
56,0.057559,0.057559,0.000000,0.076366,0.076366,0.000000,-16.39,0.0001,2025-08-21T11:48:25
57,0.056983,0.056983,0.000000,0.076045,0.076045,0.000000,-16.64,0.0001,2025-08-21T11:49:15
58,0.055104,0.055104,0.000000,0.076140,0.076140,0.000000,-17.04,0.0001,2025-08-21T11:50:06
59,0.052614,0.052614,0.000000,0.072290,0.072290,0.000000,-17.87,0.0001,2025-08-21T11:50:56
60,0.051895,0.051895,0.000000,0.071488,0.071488,0.000000,-18.29,0.0001,2025-08-21T11:51:50
61,0.050340,0.050340,0.000000,0.076160,0.076160,0.000000,-18.04,0.0001,2025-08-21T11:52:45
62,0.050754,0.050754,0.000000,0.069867,0.069867,0.000000,-18.69,0.0001,2025-08-21T11:53:33
63,0.051322,0.051322,0.000000,0.074156,0.074156,0.000000,-18.32,0.0001,2025-08-21T11:54:28
64,0.047673,0.047673,0.000000,0.072891,0.072891,0.000000,-18.50,0.0001,2025-08-21T11:55:19
65,0.045629,0.045629,0.000000,0.071158,0.071158,0.000000,-18.73,0.0001,2025-08-21T11:56:09
66,0.045548,0.045548,0.000000,0.071272,0.071272,0.000000,-18.81,0.0001,2025-08-21T11:56:59
67,0.045567,0.045567,0.000000,0.074494,0.074494,0.000000,-18.53,0.0001,2025-08-21T11:57:50
68,0.043966,0.043966,0.000000,0.069265,0.069265,0.000000,-19.15,0.0001,2025-08-21T11:58:39
69,0.045770,0.045770,0.000000,0.070567,0.070567,0.000000,-19.01,0.0001,2025-08-21T11:59:33
70,0.046218,0.046218,0.000000,0.070993,0.070993,0.000000,-18.99,0.0001,2025-08-21T12:00:22
71,0.043059,0.043059,0.000000,0.070346,0.070346,0.000000,-19.09,0.0001,2025-08-21T12:01:12
72,0.041465,0.041465,0.000000,0.067191,0.067191,0.000000,-19.44,0.0001,2025-08-21T12:02:03
73,0.044239,0.044239,0.000000,0.073730,0.073730,0.000000,-18.79,0.0001,2025-08-21T12:02:58
74,0.041285,0.041285,0.000000,0.072443,0.072443,0.000000,-18.92,0.0001,2025-08-21T12:03:47
75,0.040544,0.040544,0.000000,0.072272,0.072272,0.000000,-18.98,0.0001,2025-08-21T12:04:38
76,0.040182,0.040182,0.000000,0.071408,0.071408,0.000000,-19.09,0.0001,2025-08-21T12:05:28
77,0.040313,0.040313,0.000000,0.073972,0.073972,0.000000,-18.77,0.0001,2025-08-21T12:06:19
78,0.040589,0.040589,0.000000,0.071202,0.071202,0.000000,-19.09,5e-05,2025-08-21T12:07:10
79,0.033024,0.033024,0.000000,0.070126,0.070126,0.000000,-19.23,5e-05,2025-08-21T12:08:02
80,0.031228,0.031228,0.000000,0.069606,0.069606,0.000000,-19.28,5e-05,2025-08-21T12:08:54
81,0.031820,0.031820,0.000000,0.070077,0.070077,0.000000,-19.22,5e-05,2025-08-21T12:09:44
82,0.032180,0.032180,0.000000,0.070696,0.070696,0.000000,-19.16,5e-05,2025-08-21T12:10:35
